"Instruction","","Lat","TP","Uops","Ports","Lat","TP","Uops","Ports"
"ADDPS (XMM, M128)","SSE","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDPS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ADDSS (XMM, M32)","SSE","[2;≤10]","0.50 / 0.50","1 / 2","1*p15+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"ADDSS (XMM, XMM)","SSE","[2;3]","0.50 / 0.50","1 / 1","1*p15","3","0.50 / 0.50","1","1*FP23"
"ANDNPS (XMM, M128)","SSE","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDNPS (XMM, XMM)","SSE","1","0.33 / 0.33","1 / 1","1*p015","[0;1]","0.25 / 0.25","1","1*FP0123"
"ANDPS (XMM, M128)","SSE","[1;≤8]","0.33 / 0.33","1 / 2","1*p015+1*p23A","[1;≤9]","0.25 / 0.50","1","1*FP0123"
"ANDPS (XMM, XMM)","SSE","1","0.33 / 0.33","1 / 1","1*p015","1","0.25 / 0.25","1","1*FP0123"
"CMPPS (XMM, M128, I8)","SSE","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPPS (XMM, XMM, I8)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"CMPSS (XMM, M32, I8)","SSE","[4;≤11]","0.50 / 0.50","2 / 2","1*p01+1*p23A","[2;≤10]","0.50 / 0.50","1","1*FP23"
"CMPSS (XMM, XMM, I8)","SSE","4","0.50 / 0.50","1 / 1","1*p01","2","0.50 / 0.50","1","1*FP23"
"COMISS (XMM, M32)","SSE","[≤3;8]","1.00 / 1.00","2 / 2","1*p0+1*p23A","[≤7;≤12]","0.50 / 1.00","2","1*FP23+1*FP45"
"COMISS (XMM, XMM)","SSE","≤3","1.00 / 1.00","1 / 1","1*p0","≤7","0.50 / 1.00","2","1*FP23+1*FP45"
"CVTPI2PS (XMM, M64)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTPI2PS (XMM, MM)","SSE","[5;≤7]","1.00 / 1.04","2 / 2","1*p0+1*p01","[3;≤4]","0.50 / 0.50","2","1*FP0123+1*FP23"
"CVTPS2PI (MM, M64)","SSE","[≤10;≤13]","1.00 / 1.00","2 / 2","1*p0+1*p23A","≤11","0.50 / 0.50","1","1*FP23"
"CVTPS2PI (MM, XMM)","SSE","≤9","1.00 / 1.00","2 / 2","1*p0+1*p015","≤4","0.50 / 0.50","1","1*FP23"
"CVTSI2SS (XMM, M32)","SSE","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SS (XMM, M64)","SSE","[1;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5","[3;≤11]","0.50 / 0.50","1","1*FP23"
"CVTSI2SS (XMM, R32)","SSE","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5","[3;≤8]","0.50 / 1.42","2","1*FP23"
"CVTSI2SS (XMM, R64)","SSE","[1;≤8]","2.00 / 2.00","3 / 3","1*p01+2*p5","[3;≤8]","0.50 / 1.42","2","1*FP23"
"CVTSS2SI (R32, M32)","SSE","≤12","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p23A","[12;≤14]","0.50 / 1.00","2","1*FP23+1*FP45"
